_id	company_link	company_name	link	name	salary_currency	salary_max	salary_min	site
604e85ea3eeab1c46b7ec59b	https://hh.ru/employer/5246115	epoch8.co	https://hh.ru/vacancy/42705847?query=python	Python Developer	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec59d	https://hh.ru/employer/3087089	ООО Анлимитед Продакшен	https://hh.ru/vacancy/42970947?query=python	Разработчик Python	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec59f	https://hh.ru/employer/2223982	ООО РАБЛЗ	https://hh.ru/vacancy/42956307?query=python	Data Scientist (middle or senior)	руб.	500000	null	https://hh.ru
604e85ea3eeab1c46b7ec5a1	https://hh.ru/employer/860724	Группа КБ-12	https://hh.ru/vacancy/42990902?query=python	Python Developer / Data Scientist	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec5a3	https://www.superjob.ru/clients/alfaritm-4006623.html	Альфаритм	https://www.superjob.ru/vakansii/programmist-razrabotchik-python-36103703.html	Программист-разработчик Python	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5a5	https://www.superjob.ru/clients/tehnopark-skolkovo-3749932.html	Технопарк «Сколково»	https://www.superjob.ru/vakansii/inzhener-programmist-python-36156813.html	Инженер-программист Python (data science)	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5a7	https://www.superjob.ru/clients/grandstaff-2765830.html	Грандстафф	https://www.superjob.ru/vakansii/automation-qa-engineer-36332816.html	Automation QA Engineer / Тестировщик (Python)	руб.	200000	160000	https://www.superjob.ru
604e85ea3eeab1c46b7ec5a9	https://www.superjob.ru/clients/biglion-619002.html	Biglion	https://www.superjob.ru/vakansii/analitik-bazy-dannyh-36302264.html	Аналитик базы данных / Разработчик Python	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5ab	https://www.superjob.ru/clients/av-soft-3883806.html	АВ Софт	https://www.superjob.ru/vakansii/programmist-python-36270453.html	Программист Python	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5ad	https://www.superjob.ru/clients/tinkoff-160502.html	Тинькофф Банк	https://www.superjob.ru/vakansii/mladshij-analitik-processov-verifikacii-36173911.html	Младший аналитик процессов верификации	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5af	https://www.superjob.ru/clients/superjob-14449.html	SuperJob	https://www.superjob.ru/vakansii/rukovoditel-bekend-razrabotki-35568681.html	Руководитель бэкенд-разработки (php)	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5b1	https://www.superjob.ru/clients/mts-81084.html	МТС	https://www.superjob.ru/vakansii/produktovyj-analitik-35765100.html	Продуктовый аналитик (Команда цифровых продуктов и сервисов)	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5b3	https://www.superjob.ru/clients/kg-profimen-236675.html	КГ ПрофиМэн	https://www.superjob.ru/vakansii/sistemnyj-administrator-windows-linux-36031287.html	Системный администратор Windows Linux	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5b5	https://www.superjob.ru/clients/vidau-sistems-3907011.html	Видау Системс	https://www.superjob.ru/vakansii/inzhener-proektirovschik-it-i-slabotochnyh-setej-36072193.html	Инженер-проектировщик ИТ и слаботочных сетей (ЛВС, СКС)	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5b7	https://www.superjob.ru/clients/pravitelstvo-moskvy-3138475.html	Правительство Москвы	https://www.superjob.ru/vakansii/analitik-36156846.html	Аналитик	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5b9	https://www.superjob.ru/clients/detskij-hospis-dom-s-mayakom-2664388.html	Детский хоспис "Дом с маяком"	https://www.superjob.ru/vakansii/programmist-pyrus-35374424.html	Программист pyrus	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5bb	https://www.superjob.ru/clients/coleman-services-45008.html	Coleman Services	https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-postavok-36106863.html	Аналитик в отдел планирования поставок	руб.	140000	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5bd	https://www.superjob.ru/clients/gbuz-gkb-15-imeni-o-m-filatova-889213.html	ГБУЗ ГКБ №15 имени О. М. Филатова	https://www.superjob.ru/vakansii/specialist-po-ekspertnoj-statisticheskoj-obrabotke-biomedicinskih-dannyh-36106080.html	Специалист по экспертной статистической обработке биомедицинских данных	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5bf	https://www.superjob.ru/clients/prime-partner-3720622.html	Prime Partner	https://www.superjob.ru/vakansii/frontend-razrabotchik-36104066.html	Frontend-разработчик	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5c1	https://www.superjob.ru/clients/kompaniya-best-personal-136963.html	«Компания «Бэст-Персонал»	https://www.superjob.ru/vakansii/biznes-analitik-36255781.html	Бизнес-аналитик (удаленно)	руб.	null	110000	https://www.superjob.ru
604e85ea3eeab1c46b7ec5c3	https://www.superjob.ru/clients/brunel-4029068.html	Brunel	https://www.superjob.ru/vakansii/devops-engineer-36253465.html	DevOps Engineer	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5c5	https://www.superjob.ru/clients/welbex-3728563.html	Welbex	https://www.superjob.ru/vakansii/web-programmist-33921626.html	Web-программист, Web-разработчик (удалённо)	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5c7	https://www.superjob.ru/clients/mpo-elektromontazh-3917482.html	МПО Электромонтаж	https://www.superjob.ru/vakansii/web-razrabotchik-35121873.html	Web-разработчик	руб.	null	130000	https://www.superjob.ru
604e85ea3eeab1c46b7ec5c9	https://www.superjob.ru/clients/alternativa-inzhiniringovoe-agentstvo-1017142.html	Альтернатива. Инжиниринговое агентство	https://www.superjob.ru/vakansii/devops-inzhener-36096637.html	DevOps инженер (США, удалённо)	руб.	null	210000	https://www.superjob.ru
604e85ea3eeab1c46b7ec5cb	https://www.superjob.ru/clients/superjob-14449.html	SuperJob	https://www.superjob.ru/vakansii/devops-engineer-34424249.html	DevOps Engineer	null	null	null	https://www.superjob.ru
604e85ea3eeab1c46b7ec5cd	https://www.superjob.ru/clients/alternativa-inzhiniringovoe-agentstvo-1017142.html	Альтернатива. Инжиниринговое агентство	https://www.superjob.ru/vakansii/data-scientist-36096459.html	Data Scientist (США, удалённо)	руб.	null	210000	https://www.superjob.ru
